sample,bp,conc
sp001,40,6.38
sp001,92,14.37
sp001,104,13.21
sp001,110,35.68
sp001,240,21.91
sp001,256,17.66
sp001,283,49.56
sp001,438,8.97
sp001,929,2.68
sp001,998,1.13
sp001,"1,157",2.82
sp001,"12,969",0
sp002,39,6.6
sp002,92,7.76
sp002,109,24.8
sp002,238,10.78
sp002,255,8.35
sp002,281,43.24
sp002,435,5.48
sp002,911,0.66
sp002,"12,967",0
sp003,91,17.5
sp003,109,23.94
sp003,237,21.24
sp003,254,8.89
sp003,306,11.43
sp003,433,10.97
sp003,466,1
sp003,618,5.03
sp003,912,1.54
sp003,"12,942",0
sp004,91,10.08
sp004,108,31.58
sp004,237,9.02
sp004,254,7.59
sp004,432,4.18
sp004,"12,335",0
sp004,"13,889",0
sp006,90,13.02
sp006,107,33.63
sp006,236,18.83
sp006,251,14.83
sp006,278,22.31
sp006,429,11.7
sp006,893,1.32
sp006,"1,087",2.36
sp006,"7,472",0.44
sp006,"12,778",0
sp007,91,13.35
sp007,107,37.35
sp007,236,16.36
sp007,252,14.17
sp007,278,12.59
sp007,430,7.75
sp007,"1,085",4.03
sp007,"13,811",0
sp008,90,11.33
sp008,107,44.57
sp008,235,7.15
sp008,246,2.37
sp008,425,2.91
sp008,914,4.03
sp008,"12,371",0
sp008,"13,443",0
sp009,89,22.79
sp009,105,57.47
sp009,233,43.09
sp009,245,17.8
sp009,263,4.13
sp009,274,2.13
sp009,343,4.92
sp009,424,20.61
sp009,599,4.74
sp009,684,6.38
sp009,919,30.38
sp009,"1,120",8.38
sp009,"2,991",0.6
sp009,"12,466",0
sp010,89,15.9
sp010,105,35.27
sp010,232,27.75
sp010,244,9.88
sp010,296,3.43
sp010,423,13.48
sp010,"12,116",0
sp010,"12,882",0
sp011,92,15.57
sp011,109,11.56
sp011,240,30.09
sp011,251,19.48
sp011,308,2.13
sp011,435,16.03
sp011,627,4.68
sp011,923,1.01
sp012,39,5.77
sp012,91,14.28
sp012,108,9.25
sp012,238,25.29
sp012,250,12.51
sp012,264,1.71
sp012,280,13.51
sp012,434,16.25
sp012,"1,139",3.52
sp012,"6,794",1.19
sp012,"7,498",0.53
sp012,"12,253",0
sp012,"12,974",0
sp013,39,6.01
sp013,91,24.71
sp013,108,14.92
sp013,238,41.18
sp013,249,20.95
sp013,266,2.65
sp013,378,7.29
sp013,432,17.12
sp013,683,1.94
sp013,926,13.65
sp013,"12,509",0
sp014,39,4.57
sp014,90,14.92
sp014,104,11.35
sp014,236,27.72
sp014,249,14.63
sp014,302,2.85
sp014,378,10.82
sp014,431,12.83
sp014,923,8.42
sp014,"1,332",19.3
sp015,90,17.64
sp015,107,11.84
sp015,236,40.98
sp015,249,17.14
sp015,278,42
sp015,430,23.61
sp015,"1,126",7.05
sp015,"13,410",0
sp016,90,12.1
sp016,107,12.51
sp016,235,26.89
sp016,248,12.38
sp016,277,43.59
sp016,360,1.73
sp016,428,16.6
sp016,"1,098",5.1
sp016,"12,804",0
sp017,90,20.92
sp017,106,77.17
sp017,234,22.6
sp017,251,26.93
sp017,299,2.76
sp017,345,2.87
sp017,425,8.5
sp017,924,7.83
sp017,"13,309",0
sp020,89,8.3
sp020,106,32.1
sp020,233,13.44
sp020,249,10.39
sp020,423,6.28
sp020,886,1.36
sp020,"8,448",0.54
sp020,"12,567",0
sp020,"13,380",0
sp021,89,15.03
sp021,105,44.67
sp021,233,18.91
sp021,249,16.46
sp021,422,8.59
sp021,878,1.51
sp022,89,9.24
sp022,105,28.81
sp022,232,13.48
sp022,247,9.39
sp022,274,4
sp022,420,6.77
sp022,"13,029",0
sp025,88,8.1
sp025,105,32.31
sp025,232,13.14
sp025,247,9.21
sp025,273,8.45
sp025,421,4.29
sp025,"12,932",0
sp025,"13,683",0
sp026,40,3.9
sp026,92,10.41
sp026,109,27.43
sp026,240,14.72
sp026,255,14.31
sp026,282,9.41
sp026,436,8.3
sp026,"1,187",1.01
sp026,"12,687",0
sp027,91,9.47
sp027,109,36.84
sp027,238,13.17
sp027,255,15.2
sp027,434,7.03
sp027,930,0.71
sp027,"12,768",0
sp027,"13,963",0
sp028,91,26.84
sp028,108,69.02
sp028,237,32.77
sp028,253,41.85
sp028,268,8.89
sp028,278,10.49
sp028,333,1.72
sp028,348,1.68
sp028,432,17.72
sp028,931,5.79
sp028,"1,166",7.52
sp028,"6,530",0.83
sp028,"7,490",0.9
sp028,"12,878",0
sp028,"14,690",0
sp029,90,17.85
sp029,107,30.01
sp029,236,34.35
sp029,250,25.7
sp029,278,104.92
sp029,332,1.35
sp029,347,2.98
sp029,430,16.82
sp029,912,3.42
sp029,"1,121",8.79
sp029,"4,446",0.73
sp029,"5,442",0.86
sp029,"6,796",0.79
sp029,"7,990",0.67
sp029,"13,616",0
sp030,90,7.88
sp030,107,19.37
sp030,235,11.91
sp030,249,8.75
sp030,277,72.04
sp030,428,6.53
sp030,"12,497",0
sp031,90,13.22
sp031,107,16.33
sp031,235,18.41
sp031,249,9.81
sp031,277,22.33
sp031,428,11.03
sp031,"1,136",3.98
sp031,"7,744",0.93
sp031,"12,814",0
sp033,63,3.28
sp033,90,11.05
sp033,105,16.88
sp033,234,17.9
sp033,246,9.68
sp033,298,3.16
sp033,373,2.74
sp033,425,9.48
sp033,929,1.44
sp033,"1,464",2.72
sp033,"7,450",0.93
sp033,"14,118",0
sp034,89,8.24
sp034,105,12.41
sp034,233,12.7
sp034,246,6.41
sp034,274,46.47
sp034,422,11.82
sp034,"1,083",1.69
sp034,"7,386",0.75
sp034,"12,526",0
sp034,"13,673",0
sp035,89,12.37
sp035,105,13.25
sp035,232,19.94
sp035,246,8.67
sp035,273,63.77
sp035,420,9.94
sp035,"1,117",1.69
sp035,"13,239",0
sp036,89,8.25
sp036,104,23.62
sp036,232,14.59
sp036,244,8.69
sp036,273,2.74
sp036,299,14.04
sp036,420,5.3
sp036,"1,197",14.44
sp036,"13,025",0
sp037,88,47.4
sp037,105,67.41
sp037,198,5.52
sp037,232,80.52
sp037,245,46.06
sp037,261,9.06
sp037,273,156.05
sp037,342,8.61
sp037,421,44.6
sp037,620,2.87
sp037,681,1.42
sp037,900,14.89
sp037,"1,097",29.64
sp037,"13,072",0
sp038,91,7.01
sp038,109,13.29
sp038,238,13.79
sp038,251,6.9
sp038,280,52.68
sp038,430,4.22
sp038,"12,760",0
sp040,90,13.61
sp040,104,5.8
sp040,237,20.76
sp040,250,9.09
sp040,278,12.39
sp040,427,11.13
sp040,976,2.03
sp040,"1,134",4.14
sp042,90,11.67
sp042,105,9.06
sp042,236,21.14
sp042,248,8.09
sp042,374,5.45
sp042,426,12.51
sp042,"1,435",10.09
sp043,89,11.87
sp043,106,14.02
sp043,235,20.43
sp043,249,9.08
sp043,277,16.2
sp043,426,10.3
sp043,"1,168",4.2
sp043,"13,189",0
sp044,88,7.95
sp044,105,15.46
sp044,234,14.82
sp044,247,7.5
sp044,275,28.43
sp044,422,8.43
sp044,"12,876",0
sp046,88,4.55
sp046,105,8.47
sp046,233,11.26
sp046,247,4.22
sp046,275,55.06
sp046,420,3.09
sp046,"13,423",0
sp047,88,8.19
sp047,104,15.03
sp047,233,15.59
sp047,246,6.22
sp047,297,13.09
sp047,419,7.67
sp047,"12,957",0
sp049,88,8.9
sp049,104,9.21
sp049,233,18.71
sp049,245,7.61
sp049,273,20.81
sp049,420,9.3
sp050,87,4.08
sp050,103,6.62
sp050,231,9.12
sp050,417,3.61
sp051,87,6.62
sp051,104,9.49
sp051,232,14.77
sp051,244,7.61
sp051,418,8.87
sp051,722,29.28
sp051,"12,521",0
sp052,87,10.84
sp052,103,11.8
sp052,232,21.72
sp052,245,9.54
sp052,272,23.07
sp052,420,9.9
sp052,"1,165",4.94
sp053,92,6.56
sp053,109,7.65
sp053,239,11.19
sp053,251,5.37
sp053,281,31.89
sp053,433,7.27
sp053,"1,158",1.81
sp053,"6,669",0.76
sp053,"14,018",0
sp055,91,10.16
sp055,105,13.96
sp055,237,17.12
sp055,249,6.64
sp055,429,4.71
sp055,925,5.61
sp055,"13,660",0
sp057,90,8.89
sp057,107,8.49
sp057,237,16.54
sp057,248,9.3
sp057,278,20.3
sp057,428,8.65
sp057,"1,112",3.72
sp057,"13,264",0
sp058,90,12.93
sp058,104,7.23
sp058,236,16.41
sp058,247,10.16
sp058,303,4.23
sp058,425,8.45
sp058,602,2.16
sp061,90,10.55
sp061,106,13.55
sp061,235,13.4
sp061,247,4.83
sp061,426,8.11
sp061,"7,572",0.7
sp061,"13,469",0
sp062,89,7.75
sp062,106,8.29
sp062,234,9.83
sp062,248,5.54
sp062,275,7
sp062,423,3.91
sp062,"13,942",0
sp063,89,9.71
sp063,105,8.85
sp063,233,12.59
sp063,247,6.87
sp063,274,13.78
sp063,420,7.9
sp063,"13,582",0
sp064,88,9.61
sp064,104,11.56
sp064,220,7.44
sp064,232,15.57
sp064,245,7.91
sp064,371,2.19
sp064,418,6.27
sp064,930,2.14
sp064,"13,445",0
sp065,88,12.5
sp065,103,18.54
sp065,169,4.15
sp065,232,17.84
sp065,243,5.97
sp065,417,7.91
sp065,934,6.45
sp065,"13,694",0
sp067,87,8.12
sp067,103,15.2
sp067,139,14.61
sp067,231,14.4
sp067,245,7.91
sp067,417,6.13
sp068,87,9.21
sp068,103,20.21
sp068,231,11.97
sp068,245,9.48
sp068,271,5.93
sp068,417,6.82
sp068,"12,959",0
sp068,"15,045",0
sp005,92,6.56
sp005,108,24.97
sp005,253,4.26
sp005,976,8.95
sp005,"12,934",0
sp032,90,10.58
sp032,107,29.28
sp032,236,2.69
sp032,251,9.85
sp032,"7,562",0.79
sp032,"13,253",0
sp039,89,10.68
sp039,107,28.08
sp039,237,2.87
sp039,251,11.12
sp039,"13,807",0
sp041,89,9.13
sp041,106,25.59
sp041,249,7.71
sp048,89,7.78
sp048,105,23.46
sp048,234,6.19
sp048,249,9.68
sp048,"13,297",0
sp066,88,8.32
sp066,104,18.22
sp066,247,3.08
sp066,"13,376",0
sp070,87,10.81
sp070,104,28.92
sp070,246,6.11
sp071,87,13.18
sp071,103,33.17
sp071,233,3.78
sp071,246,7.84
sp072,87,14.74
sp072,103,38.4
sp072,244,7.62
sp073,86,12.54
sp073,102,37.27
sp073,244,5.63
sp073,536,8.77
sp078,86,11.33
sp078,102,30.49
sp078,231,5.88
sp078,244,10.09
sp080,92,15.99
sp080,109,46.8
sp080,238,3.99
sp080,253,10.2
sp080,"13,545",0
sp087,91,20.04
sp087,108,51.41
sp087,237,7.36
sp087,253,12.55
sp087,429,2.57
sp087,"5,202",0.37
sp087,"13,203",0
sp087,"14,501",0
sp092,91,20.96
sp092,107,55.55
sp092,236,7.04
sp092,252,16.59
sp092,428,3.38
sp092,"13,274",0
sp094,90,20.8
sp094,107,56.64
sp094,235,6.16
sp094,251,14.04
sp094,425,1.61
sp095,89,20.86
sp095,106,55.5
sp095,235,6.23
sp095,249,15.15
sp095,425,2.27
sp095,"13,176",0
sp067#,48,4.8
sp067#,89,15.51
sp067#,105,12.44
sp067#,233,25.38
sp067#,247,11.71
sp067#,422,16.66
sp067#,"13,957",0
sp069,92,14.32
sp069,108,28.28
sp069,228,2.98
sp069,239,23.97
sp069,255,19.74
sp069,432,6.44
sp069,918,7.3
sp069,"13,269",0
